,0.005,0.015,0.025,0.035,0.045,0.055
2008-09-02,1.9110524999999994,0.75255,1.9822375,0.789575,0.9832049999999999,1.2062700000000002
2008-09-03,1.8775524999999995,0.78605,2.0157375,0.823075,1.016705,1.17277
2008-09-04,1.9615524999999994,0.70205,1.9317375,0.739075,0.9327049999999999,1.2567700000000002
2008-09-05,1.8830524999999994,0.78055,2.0102375,0.817575,1.011205,1.1782700000000002
2008-09-08,1.7920524999999994,0.87155,2.1012375,0.908575,1.1022049999999999,1.0872700000000002
2008-09-09,1.8707024999999995,0.77455,2.0042375,0.811575,1.005205,1.1842700000000002
2008-09-10,1.886022499999999,0.77155,2.0012375,0.808575,1.002205,1.18727
2008-09-11,1.7815224999999992,0.87605,2.1057375,0.913075,1.1067049999999998,1.08277
2008-09-12,1.8040224999999992,0.85355,2.0832375,0.890575,1.0842049999999999,1.10527
2008-09-15,1.9975224999999992,0.66005,1.8897375,0.697075,0.890705,1.29877
2008-09-16,1.8240224999999992,0.83355,2.0632375,0.870575,1.0642049999999998,1.12527
2008-09-17,2.0550224999999993,0.60255,1.8322375,0.639575,0.833205,1.35627
2008-09-18,1.8445224999999992,0.81305,2.0427375,0.850075,1.0437049999999999,1.1457700000000002
2008-09-19,1.5305224999999991,1.12705,2.3567375,1.164075,1.357705,0.8317700000000001
2008-09-22,1.821022499999999,0.83655,2.0662375,0.873575,1.067205,1.12227
2008-09-23,1.8320224999999992,0.82555,2.0552375,0.862575,1.0562049999999998,1.13327
2008-09-24,1.8350224999999991,0.82255,2.0522375,0.859575,1.053205,1.1362700000000001
2008-09-25,1.6975224999999992,0.96005,2.1897375,0.997075,1.190705,0.99877
2008-09-26,1.4750224999999992,1.18255,2.4122375,1.219575,1.4132049999999998,0.7762700000000001
2008-09-29,1.811522499999999,0.84605,2.0757375,0.883075,1.076705,1.11277
2008-09-30,1.5465224999999991,1.1761949999999997,2.3407375,1.148075,1.341705,0.84777
2008-10-01,1.4105224999999992,1.0401949999999998,2.5921125,1.284075,1.6853800000000003,0.7117700000000001
2008-10-02,1.3825224999999992,1.0121949999999997,2.5641125,1.312075,1.6573800000000003,0.6837700000000001
2008-10-03,1.567522499999999,1.1971949999999998,2.7491125,1.127075,1.8423800000000004,0.86877
2008-10-06,1.6565224999999992,1.2861949999999998,2.8381125,1.038075,1.9313800000000003,0.9577700000000001
2008-10-07,1.8570974999999992,1.5051949999999996,3.0571125,0.819075,2.15038,1.17677
2008-10-08,1.856097499999999,1.5061949999999997,3.0581125,0.818075,2.15138,1.17777
2008-10-09,1.733097499999999,1.6291949999999997,3.1811125,0.695075,2.2743800000000003,1.30077
2008-10-10,1.985107499999999,1.3966949999999998,2.9486125,0.927575,2.0418800000000004,1.06827
2008-10-13,1.968607499999999,1.3801949999999996,2.9321125,0.944075,2.02538,1.05177
2008-10-14,2.028607499999999,1.4401949999999997,2.9921125,0.884075,2.0853800000000002,1.1117700000000001
2008-10-15,2.132607499999999,1.5441949999999998,3.0961125,0.780075,2.1893800000000003,1.21577
2008-10-16,2.039107499999999,1.4506949999999996,3.0026125,0.873575,2.09588,1.12227
2008-10-17,2.093607499999999,1.5051949999999996,3.0571125,0.819075,2.15038,1.17677
2008-10-20,2.031107499999999,1.4426949999999996,2.9946125,0.881575,2.08788,1.11427
2008-10-21,2.074107499999999,1.4856949999999998,3.0376125,0.838575,2.1308800000000003,1.15727
2008-10-22,2.194607499999999,1.6061949999999998,3.1581125,0.718075,2.25138,1.27777
2008-10-23,2.162607499999999,1.5741949999999998,3.1261125,0.750075,2.21938,1.24577
2008-10-24,2.276107499999999,1.6876949999999997,3.2396125,0.636575,2.3328800000000003,1.35927
2008-10-27,2.343107499999999,1.7546949999999997,3.3066125,0.569575,2.3998800000000005,1.4262700000000001
2008-10-28,2.174607499999999,1.5861949999999998,3.1381125,0.738075,2.23138,1.25777
2008-10-29,2.263107499999999,1.6746949999999996,3.2266125,0.649575,2.3198800000000004,1.34627
2008-10-30,2.173607499999999,1.5851949999999997,3.1371125,0.739075,2.2303800000000003,1.2567700000000002
2008-10-31,2.003607499999999,1.4151949999999998,2.9671125,0.909075,2.0603800000000003,1.08677
2008-11-03,2.027607499999999,1.4391949999999998,2.9911125,0.885075,2.0843800000000003,1.11077
2008-11-04,1.960107499999999,1.3716949999999997,2.9236125,0.952575,2.0168800000000005,1.0432700000000001
